hidden,lr,neg_ratio,zeta,seed,ARI,NMI,H,time_sec,elbo,AIC,BIC,ICL,Q_tested,N
[32],0.005,3,0.7,0,0.43054628196020994,0.4820361764427572,0.34008307662233017,18.413713455200195,-33008.96875,-33757.05078125,-40206.24917698005,-32409.699715470946,5,350
[32],0.005,3,0.7,1,0.9433191470244736,0.9313861367159378,0.27840250998388855,19.276691913604736,-32488.7421875,-32621.615234375,-39070.81363010505,-31274.264168595946,5,350
[32],0.005,3,0.7,2,0.19282986421312603,0.21910612273477698,0.371547615599863,19.415884733200073,-33617.5234375,-34751.91015625,-41201.10855198005,-33404.559090470946,5,350
[32],0.005,3,0.7,3,0.964499840915193,0.9559347427423888,0.2742154036939718,20.084086894989014,-32596.41796875,-32663.794921875,-39112.99331760505,-31316.443856095946,5,350
[32],0.005,3,0.7,4,0.42458400256401596,0.4590531859764252,0.3418782810909008,20.040393829345703,-33319.06640625,-34062.072265625,-40511.27066135505,-32714.721199845946,5,350
[32],0.005,3,0.7,5,0.644742237425574,0.6795134119179025,0.32370093834366054,18.941437005996704,-33005.12109375,-33389.99609375,-39839.19448948005,-32042.645027970946,5,350
[32],0.005,3,0.7,6,-0.0010836182712458738,0.0133424525072289,0.39623443336971287,18.68010139465332,-33587.6875,-35017.33203125,-41466.53042698005,-33669.980965470946,5,350
[32],0.005,3,0.7,7,0.18168788458236132,0.2078648086315865,0.372276006461689,19.361521244049072,-33280.296875,-34452.58984375,-40901.78823948005,-33105.238777970946,5,350
[32],0.005,3,0.7,8,0.4425091476906314,0.5074792842554092,0.33910629347489263,19.050472497940063,-32975.55078125,-33659.94921875,-40109.14761448005,-32312.598152970946,5,350
[32],0.005,3,0.7,9,0.4258710648454,0.47873873584436555,0.3387368280308937,20.5032057762146,-33014.9765625,-33716.47265625,-40165.67105198005,-32369.121590470946,5,350
[32],0.005,3,0.7,10,-0.0034296881120390852,0.010868313825071807,0.3970910764114538,20.265185356140137,-33535.453125,-34965.66796875,-41414.86636448005,-33618.316902970946,5,350
[32],0.005,3,0.7,11,-0.0002823248409632524,0.01409504742804682,0.3978856630491745,21.530573844909668,-33685.57421875,-35116.7734375,-41565.97183323005,-33769.422371720946,5,350
[32],0.005,3,0.7,12,-0.003645296169710422,0.012000005717259798,0.3973348976909795,19.721544981002808,-33601.44140625,-35034.7890625,-41483.98745823005,-33687.437996720946,5,350
[32],0.005,3,0.7,13,-0.0033572378118300124,0.012873795470470677,0.39727960686207575,23.138821125030518,-33469.8984375,-34904.421875,-41353.62027073005,-33557.070809220946,5,350
[32],0.005,3,0.7,14,0.6639805398085828,0.7041703771854959,0.3244639157603476,19.705390453338623,-32778.80078125,-33256.556640625,-39705.75503635505,-31909.205574845946,5,350
[32],0.005,3,0.7,0,0.4722311036438429,0.5798114783616275,0.3334873829687795,23.90635395050049,-131405.609375,-132309.5,-147036.23121385495,-129572.55687922538,5,700
[32],0.005,3,0.7,1,0.9964208726107149,0.9947260622492342,0.23134956228548237,22.884387493133545,-127377.5078125,-126546.9296875,-141273.66090135495,-123809.98656672538,5,700
[32],0.005,3,0.7,2,0.9892629496676507,0.9841780314032701,0.22637779756511872,22.655774116516113,-127541.0234375,-126640.140625,-141366.87183885495,-123903.19750422538,5,700
[32],0.005,3,0.7,3,0.7770869438994994,0.8322606648358611,0.28397608890335413,23.04063892364502,-129904.8515625,-129644.78125,-144371.51246385495,-126907.83812922538,5,700
[32],0.005,3,0.7,4,0.23985820871579788,0.3650007075390744,0.3727763496554331,23.616047620773315,-133650.234375,-135200.71875,-149927.44996385495,-132463.7756292254,5,700
[32],0.005,3,0.7,5,0.9928418005286294,0.989452091060403,0.22923188111034098,23.54132604598999,-127722.796875,-126886.375,-141613.10621385495,-124149.43187922538,5,700
[32],0.005,3,0.7,6,0.7398659538621739,0.8033842269508187,0.2906080766931927,23.439767360687256,-129959.484375,-129569.6484375,-144296.37965135495,-126832.70531672538,5,700
[32],0.005,3,0.7,7,0.22984331016741844,0.3413101736585991,0.3695492211821483,23.002068281173706,-133615.53125,-135238.71875,-149965.44996385495,-132501.7756292254,5,700
[32],0.005,3,0.7,8,0.8821471342820472,0.9049850717458049,0.2714850590424938,22.85083270072937,-129289.828125,-128398.203125,-143124.93433885495,-125661.26000422538,5,700
[32],0.005,3,0.7,9,0.6975250914082802,0.8040633538179738,0.30614279795201266,23.424213647842407,-130550.203125,-130217.2265625,-144943.95777635495,-127480.28344172538,5,700
[32],0.005,3,0.7,10,0.4711747612171909,0.5583292016668914,0.3264155465334984,23.819854736328125,-131207.390625,-132216.0390625,-146942.77027635495,-129479.09594172538,5,700
[32],0.005,3,0.7,11,0.7781322074676641,0.8949543042140036,0.280926290519564,23.976572036743164,-128892.515625,-129223.859375,-143950.59058885495,-126486.91625422538,5,700
[32],0.005,3,0.7,12,1.0,1.0,0.2304106052632619,24.369558334350586,-127646.4921875,-126871.734375,-141598.46558885495,-124134.79125422538,5,700
